               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.097436,            0.017447,            0.077234,           0.0034987,             0.62143,            0.023641,            0.008147,            0.075949,             0.01157,            0.074854,             0.07075,             0.00325,             0.00325
                   1,            0.070903,            0.018708,            0.068408,           0.0064509,             0.90714,            0.019062,           0.0050915,             0.08331,           0.0083422,            0.074413,            0.040533,           0.0063661,           0.0063661
                   2,            0.063855,            0.017031,            0.064875,             0.02465,             0.30833,             0.10477,            0.036321,            0.074215,           0.0079723,            0.067443,            0.010096,           0.0092622,           0.0092622
                   3,            0.059399,            0.014919,            0.060083,             0.69842,             0.20033,             0.20633,            0.061865,            0.069564,           0.0069223,            0.065176,             0.00901,             0.00901,             0.00901
                   4,            0.055081,            0.012779,            0.054504,             0.82736,             0.18571,             0.33694,             0.15799,            0.053664,           0.0064011,             0.06019,             0.00901,             0.00901,             0.00901
                   5,            0.052005,            0.011274,            0.047854,              0.7883,             0.25127,             0.38874,             0.21351,            0.043911,            0.005479,             0.05479,             0.00868,             0.00868,             0.00868
                   6,            0.049243,           0.0098492,            0.042071,             0.79061,             0.32857,             0.54575,             0.30847,            0.050138,           0.0047257,            0.049463,             0.00835,             0.00835,             0.00835
                   7,            0.048521,           0.0093783,            0.039512,              0.5499,             0.53898,             0.56803,             0.26667,            0.061402,           0.0045587,            0.044849,             0.00802,             0.00802,             0.00802
                   8,            0.048859,           0.0088405,            0.036956,             0.55354,             0.50714,             0.63492,             0.29399,            0.052944,           0.0043695,            0.045121,             0.00769,             0.00769,             0.00769
                   9,            0.045118,           0.0088266,             0.03277,             0.62636,             0.50369,             0.69541,             0.37334,            0.045605,           0.0044409,            0.041907,             0.00736,             0.00736,             0.00736
                  10,            0.044874,           0.0087551,            0.031637,             0.48365,             0.64028,             0.64957,             0.35689,            0.051311,           0.0041776,              0.0393,             0.00703,             0.00703,             0.00703
                  11,            0.043764,            0.007796,            0.027419,             0.52714,             0.63008,             0.68225,             0.38278,            0.042059,           0.0041189,            0.037058,              0.0067,              0.0067,              0.0067
                  12,            0.042121,           0.0079793,            0.026597,             0.73521,             0.54864,             0.66787,             0.35642,            0.040715,            0.004277,            0.036604,             0.00637,             0.00637,             0.00637
                  13,            0.042209,           0.0076254,            0.026426,             0.75447,             0.57857,             0.75034,             0.39582,            0.045396,           0.0040767,            0.034187,             0.00604,             0.00604,             0.00604
                  14,             0.03968,            0.007687,            0.024141,             0.54568,             0.66706,             0.72131,             0.45906,            0.036371,           0.0043009,            0.031373,             0.00571,             0.00571,             0.00571
                  15,            0.039889,            0.007813,            0.023007,             0.70979,               0.565,             0.74462,             0.42154,            0.038298,           0.0040132,            0.031224,             0.00538,             0.00538,             0.00538
                  16,            0.038383,           0.0074868,            0.020068,             0.57073,             0.75714,              0.7683,             0.37573,            0.034322,           0.0043194,              0.0291,             0.00505,             0.00505,             0.00505
                  17,            0.037655,             0.00762,            0.019905,             0.62169,             0.76183,             0.81192,             0.48438,            0.041803,           0.0043047,            0.028762,             0.00472,             0.00472,             0.00472
                  18,            0.038425,            0.006913,             0.01873,             0.66556,             0.81034,             0.88462,             0.44311,            0.033636,           0.0042126,             0.02832,             0.00439,             0.00439,             0.00439
                  19,            0.037111,           0.0073065,            0.018014,             0.64919,              0.7283,             0.78075,              0.4733,            0.036815,           0.0042688,             0.02874,             0.00406,             0.00406,             0.00406
                  20,            0.035642,            0.007339,            0.016541,             0.64729,             0.84508,             0.82309,             0.49805,            0.036833,           0.0040851,            0.029135,             0.00373,             0.00373,             0.00373
                  21,            0.035201,           0.0071327,            0.015824,             0.78618,             0.66609,             0.83922,             0.48622,            0.038917,           0.0039854,            0.026345,              0.0034,              0.0034,              0.0034
                  22,            0.033672,           0.0069637,            0.015217,             0.72163,              0.7699,             0.84485,             0.53108,            0.034288,           0.0041328,            0.022736,             0.00307,             0.00307,             0.00307
                  23,            0.032828,              0.0069,            0.013501,             0.91377,             0.67651,             0.85834,             0.50177,            0.035241,            0.004021,            0.022982,             0.00274,             0.00274,             0.00274
                  24,            0.031778,           0.0066707,            0.012962,              0.6854,              0.7863,             0.83604,             0.53717,            0.035736,           0.0039962,            0.027125,             0.00241,             0.00241,             0.00241
                  25,            0.031419,           0.0065111,            0.012076,             0.89224,             0.68056,             0.84429,             0.56211,            0.031893,            0.004243,            0.022761,             0.00208,             0.00208,             0.00208
                  26,            0.030239,           0.0065548,            0.012393,             0.90243,             0.68061,             0.84737,             0.55486,            0.030074,           0.0042037,             0.02186,             0.00175,             0.00175,             0.00175
                  27,            0.028659,            0.006847,            0.011652,             0.72913,             0.76901,              0.8815,             0.57154,            0.034816,           0.0039803,             0.02211,             0.00142,             0.00142,             0.00142
                  28,            0.028632,           0.0065683,            0.010222,             0.78444,             0.76956,             0.88687,             0.54829,             0.03434,           0.0040309,            0.022445,             0.00109,             0.00109,             0.00109
                  29,            0.027681,           0.0063584,            0.011045,             0.83368,             0.77529,              0.8981,             0.55438,            0.031849,            0.004093,             0.02092,             0.00076,             0.00076,             0.00076
